year,entity_name,entity_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
2024,"Nido, Tomás",621512,112,30,78.5,0.57,27,1.93,1.9,1.95,1,1.57,,1.57
2024,"Bethancourt, Christian",542194,112,32,88.2,0.69,29,1.9,1.9,1.91,1,1.48,1.48,
2024,"Langeliers, Shea",669127,133,26,86.4,0.65,70,1.91,1.9,1.91,5,1.45,1.48,1.44
2024,"Rogers, Jake",668670,116,29,80.3,0.59,30,1.93,1.91,1.94,1,1.42,,1.42
2024,"Diaz, Yainer",673237,117,25,86.9,0.73,73,1.97,1.91,1.98,3,1.49,1.46,1.5
2024,"Sánchez, Gary",596142,158,31,86.9,0.65,20,1.96,1.91,1.98,2,1.49,,1.49
2024,"Dingler, Dillon",693307,116,25,87.5,0.69,8,1.94,1.91,1.95,2,1.6,,1.6
2024,"Pagés, Pedro",686780,138,25,85.0,0.66,39,1.93,1.91,1.93,5,1.42,1.41,1.42
2024,"Wong, Connor",657136,111,28,84.8,0.65,46,1.95,1.92,1.96,4,1.55,1.51,1.59
2024,"Smith, Will",669257,119,29,82.7,0.62,57,1.94,1.92,1.95,3,1.49,1.49,
2024,"Millas, Drew",686452,120,26,85.6,0.72,12,1.94,1.92,1.95,1,1.54,,1.54
2024,"Maldonado, Martín",455117,145,37,85.0,0.68,17,1.97,1.93,1.97,3,1.53,1.5,1.55
2024,"Pereda, Jhonny",640902,146,28,84.3,0.68,5,1.92,1.93,1.9,0,,,
2024,"Sánchez, Ali",645305,146,27,81.4,0.63,18,1.96,1.93,1.97,1,1.42,,1.42
2024,"Stallings, Jacob",607732,115,34,81.1,0.69,44,1.96,1.94,1.96,4,1.53,1.45,1.56
2024,"Bart, Joey",663698,134,27,84.4,0.69,35,2.0,1.94,2.02,6,1.51,1.48,1.52
2024,"d'Arnaud, Travis",518595,144,35,82.3,0.67,37,1.98,1.95,1.98,2,1.65,,1.65
2024,"Serven, Brian",661531,141,29,81.8,0.67,7,1.98,1.95,2.0,2,1.52,,1.52
2024,"Contreras, William",661388,158,26,82.4,0.64,58,1.96,1.95,1.97,5,1.54,1.61,1.49
2024,"Contreras, Willson",575929,138,32,86.3,0.71,29,1.97,1.95,1.98,1,1.74,,1.74
2024,"Vázquez, Christian",543877,142,33,79.5,0.6,32,1.96,1.96,1.96,1,1.47,,1.47
2024,"Casali, Curt",592200,137,35,77.5,0.6,31,2.0,1.96,2.01,5,1.54,1.48,1.56
2024,"Raleigh, Cal",663728,136,27,84.4,0.66,70,1.95,1.96,1.95,6,1.47,1.49,1.45
2024,"Hedges, Austin",595978,114,31,82.0,0.63,19,1.94,1.96,1.93,1,1.46,,1.46
2024,"Thaiss, Matt",642136,108,29,84.5,0.72,15,2.01,1.96,2.03,1,1.5,,1.5
2024,"Wells, Austin",669224,147,24,81.3,0.67,45,1.98,1.97,1.98,5,1.64,1.95,1.57
2024,"O'Hoppe, Logan",681351,108,24,83.7,0.72,59,2.02,1.97,2.03,8,1.58,1.65,1.54
2024,"McCann, James",543510,110,34,81.6,0.64,38,1.98,1.97,1.99,3,1.52,1.53,1.51
2024,"Jansen, Danny",643376,111,29,78.9,0.64,38,1.99,1.97,1.99,1,1.46,1.46,
2024,"Murphy, Sean",669221,144,29,84.8,0.69,39,1.95,1.97,1.94,6,1.53,1.5,1.54
2024,"Kelly, Carson",608348,140,29,81.6,0.65,51,1.97,1.97,1.97,3,1.47,1.54,1.43
2024,"Zavala, Seby",664874,136,30,82.3,0.62,10,1.97,1.97,1.97,1,1.46,,1.46
2024,"Robinson, Chuckie",642020,145,29,84.6,0.69,15,1.97,1.97,1.97,4,1.52,1.43,1.55
2024,"Wynns, Austin",642851,113,33,77.0,0.57,8,1.96,1.97,1.96,0,,,
2024,"Kirk, Alejandro",672386,141,25,79.8,0.64,55,2.0,1.98,2.01,6,1.53,1.5,1.55
2024,"Rutschman, Adley",668939,110,26,84.5,0.69,55,1.96,1.98,1.95,4,1.51,1.52,1.5
2024,"McGuire, Reese",624512,111,29,78.0,0.6,16,1.98,1.98,1.98,1,2.11,,2.11
2024,"Heim, Jonah",641680,140,29,83.5,0.69,70,1.98,1.98,1.98,6,1.54,1.5,1.55
2024,"Barnhart, Tucker",571466,109,33,76.7,0.6,8,2.0,1.99,2.0,0,,,
2024,"Gomes, Yan",543228,112,36,75.2,0.55,12,1.98,1.99,1.98,2,1.64,,1.64
2024,"Caratini, Victor",605170,117,30,80.4,0.66,35,2.02,1.99,2.04,1,1.61,,1.61
2024,"Campusano, Luis",669134,135,25,82.4,0.68,25,1.97,1.99,1.96,1,1.55,,1.55
2024,"Romo, Drew",691011,115,22,83.1,0.65,11,1.94,1.99,1.94,1,1.45,1.45,
2024,"Maile, Luke",571912,113,33,82.7,0.65,27,1.97,2.0,1.95,1,1.67,,1.67
2024,"Naylor, Bo",666310,114,24,82.0,0.64,38,1.97,2.0,1.95,2,1.49,,1.49
2024,"Goodman, Hunter",696100,115,24,81.2,0.69,12,1.97,2.0,1.97,0,,,
2024,"Stephenson, Tyler",663886,113,27,82.1,0.7,64,2.02,2.01,2.03,4,1.55,,1.55
2024,"Narváez, Omar",553882,121,32,78.2,0.64,18,2.04,2.01,2.04,3,1.57,,1.57
2024,"Higashioka, Kyle",543309,135,34,76.4,0.61,44,2.02,2.01,2.03,1,1.46,,1.46
2024,"Knizner, Andrew",668800,140,29,79.8,0.69,17,2.03,2.02,2.03,0,,,
2024,"Grandal, Yasmani",518735,134,35,77.8,0.71,31,2.09,2.02,2.09,2,1.59,1.6,1.58
2024,"Garver, Mitch",641598,136,33,79.3,0.67,16,2.02,2.02,2.02,0,,,
2024,"Perez, Salvador",521692,118,34,80.1,0.63,24,2.01,2.03,2.0,4,1.54,1.43,1.58
2024,"Herrera, Iván",671056,138,24,81.0,0.67,28,1.99,2.04,1.99,2,1.68,,1.68
2024,"McCann, Kyle",668832,133,26,79.6,0.69,18,2.0,2.05,1.99,1,1.58,,1.58
2024,"Ruiz, Keibert",660688,120,25,78.9,0.68,57,2.06,2.06,2.06,6,1.59,1.58,1.59
2024,"Trevino, Jose",624431,147,31,76.5,0.65,44,2.07,2.06,2.07,5,1.64,1.63,1.64
2024,"Amaya, Miguel",665804,112,25,80.5,0.7,50,2.04,2.08,2.03,2,1.57,1.64,1.49
2024,"Barnes, Austin",605131,119,34,75.9,0.58,27,2.0,2.09,1.99,2,1.49,1.46,1.52
2024,"Del Castillo, Adrian",680728,109,24,76.9,0.69,13,2.04,2.18,2.02,1,1.6,,1.6
2024,"Herrera, Jose",645444,109,27,81.5,0.64,10,1.93,,1.93,0,,,
2024,"Fry, David",681807,114,28,82.5,0.68,6,1.99,,1.99,0,,,
2024,"Sabol, Blake",666165,137,26,82.8,0.73,5,1.99,,1.99,0,,,
2024,"Pinto, René",650907,139,27,83.0,0.62,8,1.94,,1.94,1,1.56,,1.56
